公告,#genre#
IPTV直播源 - 自动生成
格式: 频道名称,播放URL
分组: 4K频道,央视频道,卫视频道,北京频道,山东频道,港澳频道,电影频道,儿童频道,iHOT频道,综合频道,体育频道,剧场频道,其他频道
备注: 每个频道后的测速结果仅供参考，实际播放效果可能因网络环境而异

央视频道,#genre#
CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8
CCTV2,http://112.6.239.227:8207/hls/2/index.m3u8
CCTV3,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226456/.m3u8
CCTV4,http://1.24.39.180:9003/hls/4/index.m3u8
CCTV5,http://1.24.39.180:9003/hls/5/index.m3u8
CCTV6,http://1.24.39.180:9003/hls/6/index.m3u8
CCTV7,http://8.138.7.223/tv/cctv7.m3u8
CCTV8,http://1.24.39.180:9003/hls/8/index.m3u8
CCTV9,http://222.169.85.8:9901/tsfile/live/0009_1.m3u8
CCTV10,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226918/.m3u8
CCTV11,http://218.17.33.178:53290/tsfile/live/1011_1.m3u8?key=txiptv
CCTV12,http://222.169.85.8:9901/tsfile/live/0012_1.m3u8
CCTV13,http://112.27.235.94:8000/hls/14/index.m3u8
CCTV14,https://event.pull.hebtv.com/jishi/cp2.m3u8
CCTV15,http://222.169.85.8:9901/tsfile/live/0015_1.m3u8
CCTV16,http://1.24.39.180:9003/hls/60/index.m3u8
CCTV17,http://1.24.39.180:9003/hls/61/index.m3u8
CCTV4K,https://shyd.695847.xyz/cms001/ch00000090990000001451/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV8K,http://fn.tmde.top:35455/nptv/cctv8k.m3u8
CCTV-1综合,http://171.213.203.158:4000/rtp/239.11.0.65:5140
CCTV-2财经,http://171.213.203.158:4000/rtp/239.11.0.108:5140
CCTV-3综艺,http://171.213.203.158:4000/rtp/239.11.0.101:5140
CCTV-4中文国际,http://171.213.203.158:4000/rtp/239.11.0.109:5140
CCTV-5体育,http://171.213.203.158:4000/rtp/239.11.0.100:5140
CCTV-5+体育赛事,http://171.213.203.158:4000/rtp/239.11.0.241:5140
CCTV-6电影,http://171.213.203.158:4000/rtp/239.11.0.102:5140
CCTV-7国防军事,http://171.213.203.158:4000/rtp/239.11.0.110:5140
CCTV-8电视剧,http://171.213.203.158:4000/rtp/239.11.0.103:5140
CCTV-9纪录,http://171.213.203.158:4000/rtp/239.11.0.111:5140
CCTV-10科教,http://171.213.203.158:4000/rtp/239.11.0.112:5140
CCTV-11戏曲,http://171.213.203.158:4000/rtp/239.11.0.22:5140
CCTV-12社会与法,http://171.213.203.158:4000/rtp/239.11.0.113:5140
CCTV-13新闻,http://171.213.203.158:4000/rtp/239.11.0.24:5140
CCTV-14少儿,http://171.213.203.158:4000/rtp/239.11.0.114:5140
CCTV-15音乐,http://171.213.203.158:4000/rtp/239.11.0.26:5140
CCTV-16奥林匹克4K,http://171.213.203.158:4000/rtp/239.10.0.187:5140
CCTV-17农业农村,http://171.213.203.158:4000/rtp/239.11.0.107:5140
CCTV风云足球,http://113.106.171.234:8899/rtp/239.21.0.70:3620
CCTV央视台球,http://113.106.171.234:8899/rtp/239.21.0.71:3624
CCTV高尔夫网球,http://113.106.171.234:8899/rtp/239.21.0.72:3628
CCTV女性时尚,http://113.106.171.234:8899/rtp/239.21.0.73:3632
CCTV世界地理,http://113.106.171.234:8899/rtp/239.21.0.74:3636
CCTV怀旧剧场,http://113.106.171.234:8899/rtp/239.21.0.75:3640
CCTV风云剧场,http://113.106.171.234:8899/rtp/239.21.0.76:3644
CCTV央视文化精品,http://113.106.171.234:8899/rtp/239.21.0.77:3648
CCTV第一剧场,http://113.106.171.234:8899/rtp/239.21.0.78:3652
