# IPTV直播源列表
# 生成时间: 2025-12-12 21:05:12
# 格式: 频道名称,播放URL
# 按分组排列

# 频道分类: 4K频道,央视频道,卫视频道,北京专属频道,山东专属频道,港澳频道,广东频道,咪咕频道,影视频道,儿童频道,iHOT频道,综合频道,体育频道,剧场频道,音乐频道

#4K频道#,#genre#
苏州4k,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
CCTV4K,http://btjg.net:809/hls/141/index.m3u8
CCTV-16奥林匹克4K,http://171.213.203.158:4000/rtp/239.10.0.187:5140
CCTV-4K超高清,http://113.119.26.179:58888/udp/239.77.0.194:5146
CCTV4K超,http://106.116.243.172:9999/rtp/239.254.201.67:6000
CCTV4K超高清,http://106.5.78.198:4022/rtp/239.252.219.60:5140
CCTV4K,http://171.113.210.106:4022/rtp/239.69.1.12:9712
北京卫视4K,http://171.213.203.158:4000/rtp/239.10.0.91:5140
华数爱上4K,http://171.213.203.158:4000/rtp/239.11.0.120:5140
广东4K超高清,http://113.106.171.234:8899/rtp/239.20.0.60:3160
咪咕4K,http://113.106.171.234:8899/rtp/239.20.0.66:3136
广东综艺4K,http://113.119.26.179:58888/udp/239.77.0.252:5146
南国都市4K,http://113.119.26.179:58888/udp/239.253.43.99:5146
北京卫视4K超,http://106.116.243.172:9999/rtp/239.254.201.68:6000
上海欢笑剧场4K,http://106.116.243.172:9999/rtp/239.254.201.164:6355
华数4K电影,http://106.5.78.198:4022/udp/239.252.220.212:5140
北京IPTV4K超清,http://106.120.13.137:4022/rtp/225.1.8.211:8002
华数爱上4K电影,http://106.120.13.137:4022/rtp/225.1.8.80:2000
欢笑剧场4K,http://116.235.57.12:4022/rtp/239.45.1.4:5140
百事通电影4K,http://116.235.57.12:4022/rtp/239.45.1.42:5140
百事通少儿4K,http://116.235.57.12:4022/rtp/239.45.1.1:5140
百事通纪实4K,http://116.235.57.12:4022/rtp/239.45.1.10:5140
华数爱上4K,http://112.66.69.103:8188/rtp/239.253.64.243:5140
绚影4K,http://171.213.146.177:8188/udp/239.93.42.33:5140
4K乐享超清,http://171.213.146.177:8188/udp/239.93.0.43:5140
中录动漫4K,http://171.213.146.177:8188/udp/239.93.1.188:5140
亲子趣学4K,http://171.213.146.177:8188/udp/239.93.1.191:5140
云南4K频道,http://106.59.2.89:55555/rtp/239.200.200.178:8884
试播4K超高清,http://175.15.58.252:4022/udp/239.76.253.214:9000
华数爱上4K,http://115.58.216.54:4000/rtp/225.1.4.162:1204
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
北京IPTV4K,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.249:8001
变形金刚4K,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/u/cae_h264_delogo/1649341416749683469/mda-nd6k8tnavw6sj0a5.mp4
动感劲爆4K无损音质DJ,https://vd3.bdstatic.com/mda-ndeem0j7eth018qx//cae_h264_delogo/1650020256755720996/mda-ndeem0j7eth018qx.mp4
4K高清串烧,https://vdse.bdstatic.com//99ba2b0c6a4ab624d8fa2db52051868a.mp4
4k外码DJ抖音热歌串烧,https://vdse.bdstatic.com//8258cbe0dfd6738613fe9efd33a7a83f.mp4
4K高清串烧精选10首《 没有你我好难过》DJ何鹏2021版,https://vdse.bdstatic.com//8be71017c867d2f44fad68153ebce9e8.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-06-12T08%3A58%3A00Z%2F-1%2Fhost%2F6559a9046c216914b4969a6afdb0eeed11b8953074970dcb32a86493508234ee
