更新日期,#genre#
2025-12-09,https://codeberg.org/alantang/photo/raw/branch/main/Robot.mp4
CCTV,#genre#
CCTV1,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv1.flv$IPV4•线路1
CCTV1,http://php.cqshushu.ggff.net/jzb.php?id=cctv1&公众号【医工学习日志】$IPV4•线路2
CCTV1,http://111.43.126.240:9003/hls/13/index.m3u8$IPV4•线路3
CCTV1,https://iptv.catvod.com/live.php?id=CCTV-1$IPV4•线路4
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$IPV4•线路5
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8$IPV4•线路6
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$IPV4•线路7
CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8$IPV4•线路8
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$IPV4•线路9
CCTV1,https://v.lib.tju.edu.cn/liverespath/b455c7a019d404d571655c457e0ee8a9440a7802/319faa5444-0-0-93c6e2d1598737cd82cb99e49c9e22bc/index.m3u8$IPV4•线路10
CCTV2,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv2.flv$IPV4•线路1
CCTV2,http://php.cqshushu.ggff.net/jzb.php?id=cctv2&公众号【医工学习日志】$IPV4•线路2
CCTV2,http://111.43.126.240:9003/hls/14/index.m3u8$IPV4•线路3
CCTV2,https://iptv.catvod.com/live.php?id=CCTV-2$IPV4•线路4
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8$IPV4•线路5
CCTV2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8$IPV4•线路6
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8$IPV4•线路7
CCTV2,http://183.11.239.36:808/hls/20/index.m3u8$IPV4•线路8
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8$IPV4•线路9
CCTV2,http://liveali-tpsdr.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8?wsSecret=763b6f36b8c9cc0562a9a0220290921b&wsTime=1760876425$IPV4•线路10
CCTV3,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv3.flv$IPV4•线路1
CCTV3,http://php.cqshushu.ggff.net/jzb.php?id=cctv3&公众号【医工学习日志】$IPV4•线路2
CCTV3,http://111.43.126.240:9003/hls/15/index.m3u8$IPV4•线路3
CCTV3,https://iptv.catvod.com/live.php?id=CCTV-3$IPV4•线路4
CCTV3,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8$IPV4•线路5
CCTV3,http://gmxw.7766.org:808/hls/91/index.m3u8$IPV4•线路6
CCTV3,http://183.11.239.36:808/hls/91/index.m3u8$IPV4•线路7
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$IPV4•线路8
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8$IPV4•线路9
CCTV3,https://tvpull.careryun.com/live/02b04ee89a7bea25b7778c181285fd0b.m3u8?txSecret=7e4ec46581a0e079a32202ea984c8428&txTime=68f4d75a$IPV4•线路10
CCTV4,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv4.flv$IPV4•线路1
CCTV4,http://php.cqshushu.ggff.net/jzb.php?id=cctv4&公众号【医工学习日志】$IPV4•线路2
CCTV4,http://111.43.126.240:9003/hls/16/index.m3u8$IPV4•线路3
CCTV4,https://iptv.catvod.com/live.php?id=CCTV-4$IPV4•线路4
CCTV4,http://58.57.40.22:9901/tsfile/live/1003_1.m3u8$IPV4•线路5
CCTV4,http://183.11.239.36:808/hls/22/index.m3u8$IPV4•线路6
CCTV4,http://183.11.239.36:808/hls/77/index.m3u8$IPV4•线路7
CCTV4,http://183.11.239.36:808/hls/67/index.m3u8$IPV4•线路8
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8$IPV4•线路9
CCTV4,http://www.dsk.cc/php/bfgd.php?id=cctv4&m.m3u8$IPV4•线路10
CCTV5,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv5.flv$IPV4•线路1
CCTV5,http://php.cqshushu.ggff.net/jzb.php?id=cctv5&公众号【医工学习日志】$IPV4•线路2
CCTV5,http://111.43.126.240:9003/hls/17/index.m3u8$IPV4•线路3
CCTV5,https://iptv.catvod.com/live.php?id=CCTV-5$IPV4•线路4
CCTV5,http://58.57.40.22:9901/tsfile/live/1004_1.m3u8$IPV4•线路5
CCTV5,http://gmxw.7766.org:808/hls/93/index.m3u8$IPV4•线路6
CCTV5,http://183.11.239.36:808/hls/93/index.m3u8$IPV4•线路7
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8$IPV4•线路8
CCTV5,http://112.46.85.60:8009/hls/503/index.m3u8$IPV4•线路9
CCTV5,https://tvpull.careryun.com/live/2fe3f8cc14c276a4d713fd6b9842e787.m3u8?txSecret=2ad58f18cd715554961a95bc236e6838&txTime=68f4d9d8$IPV4•线路10
CCTV6,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv6.flv$IPV4•线路1
CCTV6,http://php.cqshushu.ggff.net/jzb.php?id=cctv6&公众号【医工学习日志】$IPV4•线路2
CCTV6,http://111.43.126.240:9003/hls/19/index.m3u8$IPV4•线路3
CCTV6,https://iptv.catvod.com/live.php?id=CCTV-6$IPV4•线路4
CCTV6,http://58.57.40.22:9901/tsfile/live/1006_1.m3u8$IPV4•线路5
CCTV6,http://183.11.239.36:808/hls/94/index.m3u8$IPV4•线路6
CCTV6,http://120.76.248.139/live/bfgd/4200000065.m3u8$IPV4•线路7
CCTV6,https://piccpndali.v.myalicdn.com/audio/cctv6_2.m3u8$IPV4•线路8
CCTV6,http://182.150.23.74:808/hls/6/index.m3u8$IPV4•线路9
CCTV6,http://www.dsk.cc/php/bfgd.php?id=cctv6&m.m3u8$IPV4•线路10
CCTV7,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv7.flv$IPV4•线路1
CCTV7,http://php.cqshushu.ggff.net/jzb.php?id=cctv7&公众号【医工学习日志】$IPV4•线路2
CCTV7,http://111.43.126.240:9003/hls/20/index.m3u8$IPV4•线路3
CCTV7,https://iptv.catvod.com/live.php?id=CCTV-7$IPV4•线路4
CCTV7,http://58.57.40.22:9901/tsfile/live/1007_1.m3u8$IPV4•线路5
CCTV7,http://8.138.7.223/tv/cctv7.m3u8$IPV4•线路6
CCTV7,http://8.138.7.223/【公众号：榴芒电视】/cctv7.m3u8$IPV4•线路7
CCTV7,http://183.11.239.36:808/hls/25/index.m3u8$IPV4•线路8
CCTV7,http://120.76.248.139/live/bfgd/4200000127.m3u8$IPV4•线路9
CCTV7,http://www.dsk.cc/php/bfgd.php?id=cctv7&m.m3u8$IPV4•线路10
CCTV8,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv8.flv$IPV4•线路1
CCTV8,http://php.cqshushu.ggff.net/jzb.php?id=cctv8&公众号【医工学习日志】$IPV4•线路2
CCTV8,http://111.43.126.240:9003/hls/21/index.m3u8$IPV4•线路3
CCTV8,https://iptv.catvod.com/live.php?id=CCTV-8$IPV4•线路4
CCTV8,http://58.57.40.22:9901/tsfile/live/1008_1.m3u8$IPV4•线路5
CCTV8,http://iptv77.iptv66.eu.org:35455/gaoma/cctv8.m3u8$IPV4•线路6
CCTV8,http://gmxw.7766.org:808/hls/96/index.m3u8$IPV4•线路7
CCTV8,http://183.11.239.36:808/hls/96/index.m3u8$IPV4•线路8
CCTV8,http://120.76.248.139/live/bfgd/4200000066.m3u8$IPV4•线路9
CCTV8,http://www.dsk.cc/php/bfgd.php?id=cctv8&m.m3u8$IPV4•线路10
CCTV9,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv9.flv$IPV4•线路1
CCTV9,http://php.cqshushu.ggff.net/jzb.php?id=cctv9&公众号【医工学习日志】$IPV4•线路2
CCTV9,http://111.43.126.240:9003/hls/22/index.m3u8$IPV4•线路3
CCTV9,https://iptv.catvod.com/live.php?id=CCTV-9$IPV4•线路4
CCTV9,http://58.57.40.22:9901/tsfile/live/1009_1.m3u8$IPV4•线路5
CCTV9,http://183.11.239.36:808/hls/27/index.m3u8$IPV4•线路6
CCTV9,http://120.76.248.139/live/bfgd/4200000128.m3u8$IPV4•线路7
CCTV9,http://112.46.85.60:8009/hls/509/index.m3u8$IPV4•线路8
CCTV9,https://piccpndali.v.myalicdn.com/audio/cctv9_2.m3u8$IPV4•线路9
CCTV9,http://www.dsk.cc/php/bfgd.php?id=cctv9&m.m3u8$IPV4•线路10
CCTV10,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv10.flv$IPV4•线路1
CCTV10,http://php.cqshushu.ggff.net/jzb.php?id=cctv10&公众号【医工学习日志】$IPV4•线路2
CCTV10,http://111.43.126.240:9003/hls/23/index.m3u8$IPV4•线路3
CCTV10,https://iptv.catvod.com/live.php?id=CCTV-10$IPV4•线路4
CCTV10,http://39.164.160.249:9901/tsfile/live/0010_1.m3u8$IPV4•线路5
CCTV10,http://58.57.40.22:9901/tsfile/live/1010_1.m3u8$IPV4•线路6
CCTV10,http://183.11.239.36:808/hls/28/index.m3u8$IPV4•线路7
CCTV10,http://120.76.248.139/live/bfgd/4200000129.m3u8$IPV4•线路8
CCTV10,https://piccpndali.v.myalicdn.com/audio/cctv10_2.m3u8$IPV4•线路9
CCTV10,http://www.dsk.cc/php/bfgd.php?id=cctv10&m.m3u8$IPV4•线路10
卫视,#genre#
北京卫视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/bjws.flv$IPV4•线路1
北京卫视,http://php.cqshushu.ggff.net/jzb.php?id=bjws&公众号【医工学习日志】$IPV4•线路2
北京卫视,http://111.43.126.240:9003/hls/41/index.m3u8$IPV4•线路3
北京卫视,http://39.164.160.249:9901/tsfile/live/0122_1.m3u8$IPV4•线路4
北京卫视,http://58.57.40.22:9901/tsfile/live/1032_1.m3u8$IPV4•线路5
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8$IPV4•线路6
北京卫视,http://222.134.245.16:9901/tsfile/live/0122_1.m3u8$IPV4•线路7
北京卫视,http://183.11.239.36:808/hls/41/index.m3u8$IPV4•线路8
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1760876105&sign=a477cc462a76be885dab5120dc9b2c47$IPV4•线路9
东方卫视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/dfws.flv$IPV4•线路1
东方卫视,http://php.cqshushu.ggff.net/jzb.php?id=dfws&公众号【医工学习日志】$IPV4•线路2
东方卫视,http://111.43.126.240:9003/hls/39/index.m3u8$IPV4•线路3
东方卫视,https://iptv.catvod.com/live.php?id=%E4%B8%9C%E6%96%B9%E5%8D%AB%E8%A7%86$IPV4•线路4
东方卫视,http://39.164.160.249:9901/tsfile/live/0107_1.m3u8$IPV4•线路5
东方卫视,http://58.57.40.22:9901/tsfile/live/1030_1.m3u8$IPV4•线路6
东方卫视,http://36.32.174.67:60080/newlive/live/hls/24/live.m3u8$IPV4•线路7
东方卫视,http://183.11.239.36:808/hls/114/index.m3u8$IPV4•线路8
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8$IPV4•线路9
东方卫视,hhttp://219.157.60.114:7001/rtp/225.1.4.85:1114$IPV4•线路10
湖南卫视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/hunws.flv$IPV4•线路1
湖南卫视,http://php.cqshushu.ggff.net/jzb.php?id=hunws&公众号【医工学习日志】$IPV4•线路2
湖南卫视,http://111.43.126.240:9003/hls/37/index.m3u8$IPV4•线路3
湖南卫视,https://iptv.catvod.com/live.php?id=%E6%B9%96%E5%8D%97%E5%8D%AB%E8%A7%86$IPV4•线路4
湖南卫视,http://39.164.160.249:9901/tsfile/live/0128_1.m3u8$IPV4•线路5
湖南卫视,http://58.57.40.22:9901/tsfile/live/1028_1.m3u8$IPV4•线路6
湖南卫视,http://satellitepull.cnr.cn/live/wx32hunws/playlist.m3u8$IPV4•线路7
湖南卫视,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8$IPV4•线路8
湖南卫视,http://183.11.239.36:808/hls/36/index.m3u8$IPV4•线路9
湖南卫视,http://219.157.60.114:7001/rtp/225.1.4.82:1111$IPV4•线路10
江苏卫视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/jsws.flv$IPV4•线路1
江苏卫视,http://php.cqshushu.ggff.net/jzb.php?id=jsws&公众号【医工学习日志】$IPV4•线路2
江苏卫视,http://111.43.126.240:9003/hls/38/index.m3u8$IPV4•线路3
江苏卫视,https://iptv.catvod.com/live.php?id=%E6%B1%9F%E8%8B%8F%E5%8D%AB%E8%A7%86$IPV4•线路4
江苏卫视,http://39.164.160.249:9901/tsfile/live/0127_1.m3u8$IPV4•线路5
江苏卫视,http://58.57.40.22:9901/tsfile/live/1031_1.m3u8$IPV4•线路6
江苏卫视,http://183.11.239.36:808/hls/38/index.m3u8$IPV4•线路7
江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8$IPV4•线路8
江苏卫视,http://112.46.85.60:8009/hls/33/index.m3u8$IPV4•线路9
江苏卫视,http://www.dsk.cc/jstv/jstv.php?id=jsws&m.m3u8$IPV4•线路10
浙江卫视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/zjws.flv$IPV4•线路1
浙江卫视,http://php.cqshushu.ggff.net/jzb.php?id=zjws&公众号【医工学习日志】$IPV4•线路2
浙江卫视,http://111.43.126.240:9003/hls/40/index.m3u8$IPV4•线路3
浙江卫视,https://iptv.catvod.com/live.php?id=%E6%B5%99%E6%B1%9F%E5%8D%AB%E8%A7%86$IPV4•线路4
浙江卫视,http://58.57.40.22:9901/tsfile/live/1029_1.m3u8$IPV4•线路5
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$IPV4•线路6
浙江卫视,http://l.cztvcloud.com/channels/lantian/SXpinghu3/720p.m3u8$IPV4•线路7
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8$IPV4•线路8
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8$IPV4•线路9
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8?$IPV4•线路10

