更新时间,#genre#
20251213 04:21,https://d.kstore.dev/download/8880/%E5%85%AC%E5%91%8A.mp4
关于本源(塔利班维护),https://d.kstore.dev/download/8880/%E6%B1%9F%E6%B9%BE%E9%B8%A3%E7%BF%A0103%E5%B9%B3%E8%A3%85%E4%BF%AE%E8%AE%BE%E8%AE%A1%E5%9B%BE%28%E5%8E%9F%E8%A7%86%E9%A2%91%29.mp4


﻿🇨🇳 4K,#genre#
北京卫视4K,https://www.shqsy.com/zgst.php?id=btv4k
东方卫视4K,https://www.shqsy.com/zgst.php?id=sh4k
江苏卫视4K,https://www.shqsy.com/zgst.php?id=js4k
浙江卫视4K,https://www.shqsy.com/zgst.php?id=zj4k
山东卫视4K,https://www.shqsy.com/zgst.php?id=sd4k
湖南卫视4K,https://www.shqsy.com/zgst.php?id=hn4k
广东卫视4K,https://www.shqsy.com/zgst.php?id=gd4k
深圳卫视4K,https://www.shqsy.com/zgst.php?id=sz4k
四川卫视4K,http://yulang132.cn:58888/udp/239.94.0.115:5140$四川电信3
湖南卫视4K,http://yulang132.cn:58888/udp/239.94.0.116:5140$四川电信3
江苏卫视4K,http://yulang132.cn:58888/udp/239.94.0.117:5140$四川电信3
浙江卫视4K,http://yulang132.cn:58888/udp/239.94.0.118:5140$四川电信3
东方卫视4K,http://yulang132.cn:58888/udp/239.94.0.119:5140$四川电信3
东方卫视4K,http://yulang132.cn:58888/udp/239.94.0.120:5140$四川电信3
广东卫视4K,http://124.116.170.138:8081/rtp/239.111.205.103:5140?$3840x2160
深圳卫视4K,http://124.116.170.138:8081/rtp/239.111.205.104:5140?$3840x2160
北京卫视4K,http://124.116.170.138:8081/rtp/239.111.205.51:5140?$3840x2160
湖南卫视4K,http://124.116.170.138:8081/rtp/239.111.205.63:5140?$3840x2160
浙江卫视4K,http://124.116.170.138:8081/rtp/239.111.205.65:5140?$3840x2160
江苏卫视4K,http://124.116.170.138:8081/rtp/239.111.205.64:5140?$3840x2160
东方卫视4K,http://124.116.170.138:8081/rtp/239.111.205.67:5140?$3840x2160
广东卫视4K,http://124.116.170.138:8081/rtp/239.111.205.103:5140?$3840x2160
深圳卫视4K,http://124.116.170.138:8081/rtp/239.111.205.104:5140?$3840x2160
四川卫视4K,http://124.116.170.138:8081/rtp/239.111.205.62:5140?$3840x2160
山东卫视4K,http://124.116.170.138:8081/rtp/239.111.205.66:5140?$3840x2160
CCTV4K,http://183.236.43.98:4111/udp/239.77.0.194:5146
CCTV4K,http://183.236.43.98:4111/udp/239.77.0.174:5146
CCTV4K,http://27.184.65.134:58888/rtp/239.254.201.67:6000
CCTV16,http://nas.201606.xyz:4022/rtp/239.10.0.187:5140
CCTV16,http://nas.201606.xyz:4022/udp/239.11.0.67:5140
北京卫视4K,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s110/index.m3u8?time=1759585819&sign=08927665bd99bb1f73d2e1600101236f
