# 自动生成的直播源文件
# 更新时间: 2025-11-19 19:13:02
# 分组格式: 频道名称,频道URL,#genre#


# 4K频道,#genre#
CCTV-16奥林匹克4K,http://171.213.203.158:4000/rtp/239.10.0.187:5140
北京卫视4K超高清,http://171.213.203.158:4000/rtp/239.10.0.91:5140
北京卫视4K超高清,http://171.213.203.158:4000/rtp/239.10.0.92:5140
华数爱上4K,http://171.213.203.158:4000/rtp/239.11.0.120:5140
CCTV-16奥林匹克4K,http://171.213.227.120:4000/rtp/239.10.0.187:5140
北京卫视4K超高清,http://171.213.227.120:4000/rtp/239.10.0.91:5140
北京卫视4K超高清,http://171.213.227.120:4000/rtp/239.10.0.92:5140
华数爱上4K,http://171.213.227.120:4000/rtp/239.11.0.120:5140
CCTV-16奥林匹克4K,http://183.220.107.138:4022/rtp/239.10.0.187:5140
北京卫视4K超高清,http://183.220.107.138:4022/rtp/239.10.0.91:5140
北京卫视4K超高清,http://183.220.107.138:4022/rtp/239.10.0.92:5140
华数爱上4K,http://183.220.107.138:4022/rtp/239.11.0.120:5140
广东4K超高清,http://113.106.171.234:8899/rtp/239.20.0.60:3160
咪咕4K,http://113.106.171.234:8899/rtp/239.20.0.66:3136
北京卫视4K超高清,http://113.106.171.234:8899/rtp/239.20.0.46:3220
北京卫视4K超高清,http://113.106.171.234:8899/rtp/239.20.0.250:2298
广东综艺4K,http://113.119.26.179:58888/udp/239.77.0.252:5146
广东4K超高清,http://113.119.26.179:58888/udp/239.77.0.245:5146
广东4K超高清,http://113.119.26.179:58888/udp/239.77.1.237:5146
广东4K超高清,http://113.119.26.179:58888/udp/239.77.0.244:5146
南国都市4K,http://113.119.26.179:58888/udp/239.253.43.99:5146
CCTV-4K超高清,http://113.119.26.179:58888/udp/239.77.0.194:5146
CCTV-4K超高清,http://113.119.26.179:58888/udp/239.77.0.174:5146
广东综艺4K,http://113.119.27.238:58888/udp/239.77.0.252:5146
广东4K超高清,http://113.119.27.238:58888/udp/239.77.0.245:5146
广东4K超高清,http://113.119.27.238:58888/udp/239.77.1.237:5146
广东4K超高清,http://113.119.27.238:58888/udp/239.77.0.244:5146
南国都市4K,http://113.119.27.238:58888/udp/239.253.43.99:5146
CCTV-4K超高清,http://113.119.27.238:58888/udp/239.77.0.194:5146
CCTV-4K超高清,http://113.119.27.238:58888/udp/239.77.0.174:5146
广东综艺4K,http://116.21.205.101:8188/udp/239.77.0.252:5146
广东4K超高清,http://116.21.205.101:8188/udp/239.77.0.245:5146
广东4K超高清,http://116.21.205.101:8188/udp/239.77.1.237:5146
广东4K超高清,http://116.21.205.101:8188/udp/239.77.0.244:5146
南国都市4K,http://116.21.205.101:8188/udp/239.253.43.99:5146
CCTV-4K超高清,http://116.21.205.101:8188/udp/239.77.0.194:5146
CCTV-4K超高清,http://116.21.205.101:8188/udp/239.77.0.174:5146
广东综艺4K,http://183.236.43.98:4013/udp/239.77.0.252:5146
广东4K超高清,http://183.236.43.98:4013/udp/239.77.0.245:5146
广东4K超高清,http://183.236.43.98:4013/udp/239.77.1.237:5146
广东4K超高清,http://183.236.43.98:4013/udp/239.77.0.244:5146
南国都市4K,http://183.236.43.98:4013/udp/239.253.43.99:5146
CCTV-4K超高清,http://183.236.43.98:4013/udp/239.77.0.194:5146
CCTV-4K超高清,http://183.236.43.98:4013/udp/239.77.0.174:5146
CCTV-16奥林匹克4K,http://111.127.156.228:51234/rtp/239.29.1.149:5000
北京卫视4K超高清,http://36.49.53.247:8800/rtp/239.37.0.109:5540
CCTV4K超,http://106.116.243.172:9999/rtp/239.254.201.67:6000
北京卫视4K超,http://106.116.243.172:9999/rtp/239.254.201.68:6000
上海欢笑剧场4K,http://106.116.243.172:9999/rtp/239.254.201.164:6355
CCTV4K超,http://27.184.65.181:58888/rtp/239.254.201.67:6000
北京卫视4K超,http://27.184.65.181:58888/rtp/239.254.201.68:6000
上海欢笑剧场4K,http://27.184.65.181:58888/rtp/239.254.201.164:6355
华数爱上4K,http://119.84.193.28:7777/rtp/235.254.198.102:7980
CCTV4K超高清,http://106.5.78.198:4022/rtp/239.252.219.60:5140
华数4K电影,http://106.5.78.198:4022/udp/239.252.220.212:5140
北京卫视4K超高清,http://106.120.13.137:4022/udp/225.1.8.120:8002
